table,column,parent,prt_col
discount_voucherchannellisting,voucher,discount_voucher,id
discount_orderdiscount,order,order_order,id
discount_sale_variants,productvariant,product_productvariant,id
discount_voucher_variants,voucher,discount_voucher,id
discount_voucher_variants,productvariant,product_productvariant,id
giftcard_giftcard,app,app_app,id
giftcard_giftcard,created_by,account_user,id
giftcard_giftcard,product,product_product,id
giftcard_giftcard,used_by,account_user,id
giftcard_giftcardevent,app,app_app,id
giftcard_giftcardevent,gift_card,giftcard_giftcard,id
giftcard_giftcardevent,user,account_user,id
invoice_invoice,order,order_order,id
invoice_invoiceevent,invoice,invoice_invoice,id
invoice_invoiceevent,order,order_order,id
invoice_invoiceevent,user,account_user,id
invoice_invoiceevent,app,app_app,id
menu_menuitemtranslation,menu_item,menu_menuitem,id
order_order,original,order_order,id
order_orderevent,app,app_app,id
order_order,collection_point,warehouse_warehouse,id
plugins_pluginconfiguration,channel,channel_channel,id
warehouse_preorderallocation,order_line,order_orderline,id
warehouse_preorderallocation,product_variant_channel_listing,product_productvariantchannellisting,id
wishlist_wishlist,user,account_user,id
wishlist_wishlistitem,product,product_product,id
wishlist_wishlistitem,wishlist,wishlist_wishlist,id
wishlist_wishlistitem_variants,wishlistitem,wishlist_wishlistitem,id
wishlist_wishlistitem_variants,productvariant,product_productvariant,id
