table,constraint,column,parent,prt_col
course_duration_limits_coursedurationlimitconfig,course_duration_limi_site_id_cb492296_fk_django_si,site_id,django_site,id
course_goals_coursegoal,course_goals_coursegoal_user_id_0a07e3db_fk_auth_user_id,user_id,auth_user,id
course_goals_coursegoalreminderstatus,course_goals_courseg_goal_id_8a7932cf_fk_course_go,goal_id,course_goals_coursegoal,id
course_goals_useractivity,course_goals_useractivity_user_id_aed932d9_fk_auth_user_id,user_id,auth_user,id
course_groups_cohortmembership,course_groups_cohort_course_user_group_id_6ea50b45_fk_course_gr,course_user_group_id,course_groups_courseusergroup,id
course_groups_cohortmembership,course_groups_cohortmembership_user_id_aae5b8e7_fk_auth_user_id,user_id,auth_user,id
course_groups_coursecohort,course_groups_course_course_user_group_id_ec5703ee_fk_course_gr,course_user_group_id,course_groups_courseusergroup,id
course_groups_courseusergrouppartitiongroup,course_groups_course_course_user_group_id_6032d512_fk_course_gr,course_user_group_id,course_groups_courseusergroup,id
course_groups_unregisteredlearnercohortassignments,course_groups_unregi_course_user_group_id_c1c8a247_fk_course_gr,course_user_group_id,course_groups_courseusergroup,id
course_home_api_disableprogresspagestackedconfig,course_home_api_disa_changed_by_id_2a8c1176_fk_auth_user,changed_by_id,auth_user,id
course_home_api_disableprogresspagestackedconfig,course_home_api_disa_course_id_815633f2_fk_course_ov,course_id,course_overviews_courseoverview,id
course_home_api_disableprogresspagestackedconfig,course_home_api_disa_site_id_81e5e9d3_fk_django_si,site_id,django_site,id
course_modes_coursemodeexpirationconfig,course_modes_coursem_changed_by_id_208463ee_fk_auth_user,changed_by_id,auth_user,id
course_overviews_courseoverviewimageconfig,course_overviews_cou_changed_by_id_b60ae39a_fk_auth_user,changed_by_id,auth_user,id
course_overviews_courseoverviewimageset,course_overviews_cou_course_overview_id_ef7aa548_fk_course_ov,course_overview_id,course_overviews_courseoverview,id
course_overviews_courseoverviewtab,course_overviews_cou_course_overview_id_71fa6321_fk_course_ov,course_overview_id,course_overviews_courseoverview,id
course_overviews_simulatecoursepublishconfig,course_overviews_sim_changed_by_id_3413c118_fk_auth_user,changed_by_id,auth_user,id
courseware_coursedynamicupgradedeadlineconfiguration,courseware_coursedyn_changed_by_id_2c4efc3a_fk_auth_user,changed_by_id,auth_user,id
courseware_dynamicupgradedeadlineconfiguration,courseware_dynamicup_changed_by_id_6a450e2c_fk_auth_user,changed_by_id,auth_user,id
courseware_lastseencoursewaretimezone,courseware_lastseenc_user_id_b3deb845_fk_auth_user,user_id,auth_user,id
courseware_offlinecomputedgrade,courseware_offlinecomputedgrade_user_id_14864cea_fk_auth_user_id,user_id,auth_user,id
courseware_orgdynamicupgradedeadlineconfiguration,courseware_orgdynami_changed_by_id_b557a1ea_fk_auth_user,changed_by_id,auth_user,id
courseware_studentfieldoverride,courseware_studentfi_student_id_7a972765_fk_auth_user,student_id,auth_user,id
courseware_xmodulestudentinfofield,courseware_xmodulest_student_id_b78d39b4_fk_auth_user,student_id,auth_user,id
courseware_xmodulestudentprefsfield,courseware_xmodulest_student_id_3c60ec8a_fk_auth_user,student_id,auth_user,id
crawlers_crawlersconfig,crawlers_crawlersconfig_changed_by_id_544af924_fk_auth_user_id,changed_by_id,auth_user,id
credentials_credentialsapiconfig,credentials_credenti_changed_by_id_9e145a81_fk_auth_user,changed_by_id,auth_user,id
