constraint,table,column,count_composite
grades_persistentcoursegrade_course_id_user_id_d7b585c9_uniq,grades_persistentcoursegrade,"course_id,user_id",2
grades_persistentsubsect_course_id_user_id_usage__42820224_uniq,grades_persistentsubsectiongrade,"course_id,user_id,usage_key",3
hashed,grades_visibleblocks,hashed,1
learning_context_id,learning_sequences_publishreport,learning_context_id,1
learning_sequences_cours_course_context_id_orderi_f233743c_uniq,learning_sequences_coursesectionsequence,"course_context_id,ordering",2
learning_sequences_cours_course_context_id_usage__0df8eb59_uniq,learning_sequences_coursesection,"course_context_id,usage_key",2
learning_sequences_learn_learning_context_id_usag_6a13230f_uniq,learning_sequences_learningsequence,"learning_context_id,usage_key",2
learning_sequences_secti_user_partition_group_id__44a79d57_uniq,learning_sequences_sectionsequencepartitiongroup,"user_partition_group_id,course_section_sequence_id",2
learning_sequences_secti_user_partition_group_id__bf44a405_uniq,learning_sequences_sectionpartitiongroup,"user_partition_group_id,course_section_id",2
learning_sequences_userp_partition_id_group_id_a152e36f_uniq,learning_sequences_userpartitiongroup,"partition_id,group_id",2
mobile_api_appversionconfig_platform_version_6b577430_uniq,mobile_api_appversionconfig,"platform,version",2
mode,badges_coursecompleteimageconfiguration,mode,1
name,bulk_email_courseemailtemplate,name,1
name,external_user_ids_externalidtype,name,1
name,survey_surveyform,name,1
name,system_wide_roles_systemwiderole,name,1
name,tagging_tagcategories,name,1
program_enrollments_cour_role_enrollment_id_5a7bfa63_uniq,program_enrollments_courseaccessroleassignment,"role,enrollment_id",2
program_enrollments_prog_external_user_key_progra_ec52a567_uniq,program_enrollments_programenrollment,"external_user_key,program_uuid,curriculum_uuid",3
program_enrollments_prog_program_enrollment_id_co_7d2701fb_uniq,program_enrollments_programcourseenrollment,"program_enrollment_id,course_key",2
program_enrollments_prog_user_id_program_uuid_cur_ecf769fd_uniq,program_enrollments_programenrollment,"user_id,program_uuid,curriculum_uuid",3
provider_id,credit_creditprovider,provider_id,1
schedule_id,schedules_scheduleexperience,schedule_id,1
site_id,site_configuration_siteconfiguration,site_id,1
state_execution_order,user_api_retirementstate,state_execution_order,1
state_name,user_api_retirementstate,state_name,1
student_courseaccessrole_user_id_org_course_id_ro_bbf71126_uniq,student_courseaccessrole,"user_id,org,course_id,role",4
student_courseenrollment_user_id_course_id_5d34a47f_uniq,student_courseenrollment,"user_id,course_id",2
student_courseenrollmentallowed_email_course_id_1e23ed5e_uniq,student_courseenrollmentallowed,"email,course_id",2
student_entranceexamconf_user_id_course_id_23bbcf9b_uniq,student_entranceexamconfiguration,"user_id,course_id",2
student_languageproficiency_code_user_profile_id_9aa4e2f5_uniq,student_languageproficiency,"code,user_profile_id",2
student_userattribute_user_id_name_70e18f46_uniq,student_userattribute,"user_id,name",2
student_usertestgroup_us_usertestgroup_id_user_id_2bbf095a_uniq,student_usertestgroup_users,"usertestgroup_id,user_id",2
task_id,user_tasks_usertaskstatus,task_id,1
team_id,teams_courseteam,team_id,1
teams_courseteammembership_user_id_team_id_aa45a20c_uniq,teams_courseteammembership,"user_id,team_id",2
unique_app_config_for_course,course_apps_courseappstatus,"app_id,course_key",2
unique_user_course_date,course_goals_useractivity,"user_id,course_key,date",3
unsubscribe_token,course_goals_coursegoal,unsubscribe_token,1
url,rss_proxy_whitelistedrssurl,url,1
usage_key,bookmarks_xblockcache,usage_key,1
user_api_usercoursetag_user_id_course_id_key_d73150ab_uniq,user_api_usercoursetag,"user_id,course_id,key",3
user_api_userorgtag_user_id_org_key_d4df9ac1_uniq,user_api_userorgtag,"user_id,org,key",3
user_api_userpreference_user_id_key_17924c0d_uniq,user_api_userpreference,"user_id,key",2
user_id,content_libraries_ltiprofile,user_id,1
user_id,course_creators_coursecreator,user_id,1
user_id,courseware_lastseencoursewaretimezone,user_id,1
user_id,student_pendingemailchange,user_id,1
user_id,student_pendingnamechange,user_id,1
user_id,student_pendingsecondaryemailchange,user_id,1
user_id,student_usercelebration,user_id,1
user_id,student_userstanding,user_id,1
user_id,user_api_userretirementpartnerreportingstatus,user_id,1
user_id,user_api_userretirementrequest,user_id,1
user_id,user_api_userretirementstatus,user_id,1
user_id,user_tours_usertour,user_id,1
uuid,certificates_examplecertificate,uuid,1
uuid,credit_creditrequest,uuid,1
uuid,user_tasks_usertaskartifact,uuid,1
uuid,user_tasks_usertaskstatus,uuid,1
video_config_updatedcour_course_id_edx_video_id_455a73ff_uniq,video_config_updatedcoursevideos,"course_id,edx_video_id",2
