table,column,parent,prt_col
campaigns_contactgroupbasketcondition_contact_groups,contactgroupbasketcondition,campaigns_contactgroupbasketcondition,basketcondition_ptr_id
campaigns_contactgroupbasketcondition_contact_groups,contactgroup,shuup_contactgroup,id
campaigns_contactgroupcondition_contact_groups,contactgroupcondition,campaigns_contactgroupcondition,contextcondition_ptr_id
campaigns_contactgroupcondition_contact_groups,contactgroup,shuup_contactgroup,id
campaigns_discountfromcategoryproducts,category,shuup_category,id
campaigns_discountfromproduct_products,discountfromproduct,campaigns_discountfromproduct,basketlineeffect_ptr_id
campaigns_discountfromproduct_products,product,shuup_product,id
campaigns_freeproductline_products,freeproductline,campaigns_freeproductline,basketlineeffect_ptr_id
campaigns_freeproductline_products,product,shuup_product,id
campaigns_productfilter_products,productfilter,campaigns_productfilter,catalogfilter_ptr_id
campaigns_productfilter_products,product,shuup_product,id
campaigns_productsinbasketcondition_products,productsinbasketcondition,campaigns_productsinbasketcondition,basketcondition_ptr_id
campaigns_productsinbasketcondition_products,product,shuup_product,id
campaigns_producttypefilter_product_types,producttypefilter,campaigns_producttypefilter,catalogfilter_ptr_id
campaigns_producttypefilter_product_types,producttype,shuup_producttype,id
campaigns_productdiscounteffect,campaign,campaigns_catalogcampaign,id
campaigns_catalogfiltercachedshopproduct,filter,campaigns_catalogfilter,id
campaigns_catalogfiltercachedshopproduct,shop_product,shuup_shopproduct,id
campaigns_catalogcampaign_conditions,catalogcampaign,campaigns_catalogcampaign,id
campaigns_catalogcampaign_conditions,contextcondition,campaigns_contextcondition,id
campaigns_catalogcampaign,created_by,auth_user,id
campaigns_catalogcampaign_filters,catalogcampaign,campaigns_catalogcampaign,id
campaigns_catalogcampaign_filters,catalogfilter,campaigns_catalogfilter,id
campaigns_catalogcampaign,modified_by,auth_user,id
campaigns_basketlineeffect,campaign,campaigns_basketcampaign,id
campaigns_basketdiscounteffect,campaign,campaigns_basketcampaign,id
campaigns_basketcampaign_conditions,basketcampaign,campaigns_basketcampaign,id
campaigns_basketcampaign_conditions,basketcondition,campaigns_basketcondition,id
campaigns_basketcampaign,coupon,campaigns_coupon,id
campaigns_basketcampaign,created_by,auth_user,id
campaigns_basketcampaign,modified_by,auth_user,id
campaigns_basketcampaign,shop,shuup_shop,id
campaigns_catalogcampaign,shop,shuup_shop,id
campaigns_categoryproductsbasketcondition_categories,category,shuup_category,id
campaigns_categoryproductsbasketcondition_categories,categoryproductsbasketcondition,campaigns_categoryproductsbasketcondition,basketcondition_ptr_id
campaigns_categoryproductsbasketcondition_excluded_categories,category,shuup_category,id
campaigns_categoryproductsbasketcondition_excluded_categories,categoryproductsbasketcondition,campaigns_categoryproductsbasketcondition,basketcondition_ptr_id
campaigns_coupon,shop,shuup_shop,id
campaigns_coupon,supplier,shuup_supplier,id
campaigns_basketcampaign,supplier,shuup_supplier,id
campaigns_childrenproductcondition,product,shuup_product,id
shuup_simple_cms_page,created_by,auth_user,id
shuup_simple_cms_page,modified_by,auth_user,id
carousel_slide,carousel,carousel_carousel,id
carousel_slide,category_link,shuup_category,id
carousel_slide,cms_page_link,shuup_simple_cms_page,id
carousel_slide,product_link,shuup_product,id
carousel_carousel_shops,carousel,carousel_carousel,id
carousel_carousel_shops,shop,shuup_shop,id
default_tax_taxrule,tax,shuup_tax,id
default_tax_taxrule_customer_tax_groups,taxrule,default_tax_taxrule,id
default_tax_taxrule_customer_tax_groups,customertaxgroup,shuup_customertaxgroup,id
default_tax_taxrule_tax_classes,taxrule,default_tax_taxrule,id
default_tax_taxrule_tax_classes,taxclass,shuup_taxclass,id
shuup_contact,picture,filer_image,file_ptr_id
shuup_category,image,filer_image,file_ptr_id
shuup_category_visibility_groups,contactgroup,shuup_contactgroup,id
shuup_category_visibility_groups,category,shuup_category,id
shuup_contact,tax_group,shuup_customertaxgroup,id
shuup_paymentmethod,tax_class,shuup_taxclass,id
shuup_product,sales_unit,shuup_salesunit,id
shuup_product,tax_class,shuup_taxclass,id
shuup_producttype_attributes,attribute,shuup_attribute,id
shuup_producttype_attributes,producttype,shuup_producttype,id
shuup_shippingmethod,tax_class,shuup_taxclass,id
shuup_shop,favicon,filer_image,file_ptr_id
shuup_shop,logo,filer_image,file_ptr_id
shuup_shopproduct,display_unit,shuup_displayunit,id
shuup_shopproduct_payment_methods,paymentmethod,shuup_paymentmethod,id
shuup_shopproduct_payment_methods,shopproduct,shuup_shopproduct,id
shuup_shopproduct,primary_category,shuup_category,id
shuup_shopproduct_shipping_methods,shippingmethod,shuup_shippingmethod,id
shuup_shopproduct_shipping_methods,shopproduct,shuup_shopproduct,id
shuup_shopproduct,shop_primary_image,shuup_productmedia,id
shuup_shopproduct_suppliers,supplier,shuup_supplier,id
shuup_shopproduct_suppliers,shopproduct,shuup_shopproduct,id
shuup_shopproduct_visibility_groups,contactgroup,shuup_contactgroup,id
shuup_shopproduct_visibility_groups,shopproduct,shuup_shopproduct,id
shuup_paymentmethod,supplier,shuup_supplier,id
shuup_serviceprovider_shops,serviceprovider,shuup_serviceprovider,id
shuup_serviceprovider_shops,shop,shuup_shop,id
shuup_serviceprovider,supplier,shuup_supplier,id
shuup_shippingmethod,supplier,shuup_supplier,id
shuup_mediafolder_owners,mediafolder,shuup_mediafolder,id
shuup_mediafolder_owners,user,auth_user,id
shuup_suppliershop,shop,shuup_shop,id
shuup_suppliershop,supplier,shuup_supplier,id
shuup_product,manufacturer,shuup_manufacturer,id
shuup_productpackagelink,child,shuup_product,id
shuup_productpackagelink,parent,shuup_product,id
shuup_attributechoiceoption,attribute,shuup_attribute,id
shuup_supplier_supplier_modules,supplier,shuup_supplier,id
shuup_supplier_supplier_modules,suppliermodule,shuup_suppliermodule,id
shuup_backgroundtask,shop,shuup_shop,id
shuup_backgroundtask,supplier,shuup_supplier,id
shuup_backgroundtask,user,auth_user,id
shuup_backgroundtaskexecution,task,shuup_backgroundtask,id
shuup_orderstatus_allowed_next_statuses,from_orderstatus,shuup_orderstatus,id
shuup_orderstatus_allowed_next_statuses,to_orderstatus,shuup_orderstatus,id
shuup_orderstatushistory,creator,auth_user,id
shuup_orderstatushistory,next_order_status,shuup_orderstatus,id
shuup_orderstatushistory,order,shuup_order,id
shuup_orderstatushistory,previous_order_status,shuup_orderstatus,id
shuup_productattribute_chosen_options,attributechoiceoption,shuup_attributechoiceoption,id
shuup_productattribute_chosen_options,productattribute,shuup_productattribute,id
shuup_productcatalogpricerule,contact,shuup_contact,id
shuup_productcatalogpricerule,contact_group,shuup_contactgroup,id
shuup_productcatalogdiscountedpricerule,contact,shuup_contact,id
shuup_productcatalogdiscountedpricerule,contact_group,shuup_contactgroup,id
shuup_productcatalogdiscountedprice,catalog_rule,shuup_productcatalogdiscountedpricerule,id
shuup_productcatalogdiscountedprice,product,shuup_product,id
shuup_productcatalogdiscountedprice,shop,shuup_shop,id
shuup_productcatalogdiscountedprice,supplier,shuup_supplier,id
shuup_productcatalogprice,catalog_rule,shuup_productcatalogpricerule,id
shuup_productcatalogprice,product,shuup_product,id
shuup_productcatalogprice,shop,shuup_shop,id
shuup_productcatalogprice,supplier,shuup_supplier,id
discounts_discount,category,shuup_category,id
discounts_discount,contact,shuup_contact,id
discounts_discount,contact_group,shuup_contactgroup,id
discounts_timerange,happy_hour,discounts_happyhour,id
discounts_timerange,parent,discounts_timerange,id
discounts_discount_happy_hours,discount,discounts_discount,id
discounts_discount_happy_hours,happyhour,discounts_happyhour,id
discounts_discount,product,shuup_product,id
discounts_discount,supplier,shuup_supplier,id
discounts_discount,created_by,auth_user,id
discounts_discount,modified_by,auth_user,id
discounts_discount,shop,shuup_shop,id
discounts_happyhour,shop,shuup_shop,id
discounts_shopproductcatalogdiscountslink,shop_product,shuup_shopproduct,id
discounts_shopproductcatalogdiscountslink_discounts,shopproductcatalogdiscountslink,discounts_shopproductcatalogdiscountslink,id
discounts_shopproductcatalogdiscountslink_discounts,discount,discounts_discount,id
registration_registrationprofile,user,auth_user,id
reversion_revision,user,auth_user,id
reversion_version,revision,reversion_revision,id
shuup_encryptedconfigurationitem,shop,shuup_shop,id
shuup_paymentmethod,payment_processor,shuup_paymentprocessor,serviceprovider_ptr_id
shuup_shippingmethod,carrier,shuup_carrier,serviceprovider_ptr_id
shuup_customer_group_pricing_cgpprice,group,shuup_contactgroup,id
shuup_customer_group_pricing_cgpprice,product,shuup_product,id
shuup_customer_group_pricing_cgpprice,shop,shuup_shop,id
shuup_customer_group_pricing_cgpdiscount,group,shuup_contactgroup,id
shuup_customer_group_pricing_cgpdiscount,product,shuup_product,id
shuup_customer_group_pricing_cgpdiscount,shop,shuup_shop,id
shuup_front_storedbasket,shop,shuup_shop,id
shuup_front_storedbasket_products,storedbasket,shuup_front_storedbasket,id
shuup_front_storedbasket_products,product,shuup_product,id
shuup_front_storedbasket,creator,auth_user,id
shuup_front_storedbasket,customer,shuup_contact,id
shuup_front_storedbasket,orderer,shuup_personcontact,contact_ptr_id
shuup_front_storedbasket,supplier,shuup_supplier,id
shuup_xtheme_savedviewconfig,shop,shuup_shop,id
shuup_xtheme_themesettings,shop,shuup_shop,id
shuup_xtheme_snippet,shop,shuup_shop,id
shuup_simple_cms_page,shop,shuup_shop,id
shuup_gdpr_gdprcookiecategory,shop,shuup_shop,id
shuup_gdpr_gdprsettings,shop,shuup_shop,id
shuup_gdpr_gdpruserconsent,shop,shuup_shop,id
