table,constraint,column,parent,prt_col
offer_benefit,offer_benefit_range_id_ab19c5ab_fk_offer_range_id,range_id,offer_range,id
offer_codeassignmentnudgeemails,offer_codeassignment_email_template_id_efc35dca_fk_offer_cod,email_template_id,offer_codeassignmentnudgeemailtemplates,id
offer_condition,offer_condition_range_id_b023a2aa_fk_offer_range_id,range_id,offer_range,id
offer_conditionaloffer,offer_conditionaloff_condition_id_e6baa945_fk_offer_con,condition_id,offer_condition,id
offer_conditionaloffer,offer_conditionaloff_enterprise_contract__d5cbdcd5_fk_payment_e,enterprise_contract_metadata_id,payment_enterprisecontractmetadata,id
offer_conditionaloffer,offer_conditionaloffer_benefit_id_f43f68b5_fk_offer_benefit_id,benefit_id,offer_benefit,id
offer_conditionaloffer,offer_conditionaloffer_partner_id_49d043f6_fk_partner_partner_id,partner_id,partner_partner,id
offer_conditionaloffer,offer_conditionaloffer_site_id_4409fcc5_fk_django_site_id,site_id,django_site,id
offer_offerassignment,offer_offerassignmen_offer_id_db7eea58_fk_offer_con,offer_id,offer_conditionaloffer,id
offer_offerassignment,offer_offerassignmen_voucher_application__85ebbc90_fk_voucher_v,voucher_application_id,voucher_voucherapplication,id
offer_offerassignmentemailattempt,offer_offerassignmen_offer_assignment_id_64f0cff1_fk_offer_off,offer_assignment_id,offer_offerassignment,id
offer_offerusageemail,offer_offerusageemai_offer_id_f3c4d8e7_fk_offer_con,offer_id,offer_conditionaloffer,id
offer_range,offer_range_catalog_id_10237996_fk_catalogue_catalog_id,catalog_id,catalogue_catalog,id
offer_range_classes,offer_range_classes_productclass_id_6f6de46d_fk_catalogue,productclass_id,catalogue_productclass,id
offer_range_classes,offer_range_classes_range_id_7d3e573e_fk_offer_range_id,range_id,offer_range,id
offer_range_excluded_products,offer_range_excluded_product_id_78c49bfc_fk_catalogue,product_id,catalogue_product,id
offer_range_excluded_products,offer_range_excluded_range_id_cce4a032_fk_offer_ran,range_id,offer_range,id
offer_range_included_categories,offer_range_included_category_id_c61569a5_fk_catalogue,category_id,catalogue_category,id
offer_range_included_categories,offer_range_included_range_id_1b616138_fk_offer_ran,range_id,offer_range,id
offer_rangeproduct,offer_rangeproduct_product_id_723b3ea3_fk_catalogue_product_id,product_id,catalogue_product,id
offer_rangeproduct,offer_rangeproduct_range_id_ee358495_fk_offer_range_id,range_id,offer_range,id
offer_rangeproductfileupload,offer_rangeproductfi_uploaded_by_id_c01a3250_fk_ecommerce,uploaded_by_id,ecommerce_user,id
offer_rangeproductfileupload,offer_rangeproductfileupload_range_id_c055ebf8_fk_offer_range_id,range_id,offer_range,id
offer_templatefileattachment,offer_templatefileat_template_id_85f1bc1a_fk_offer_off,template_id,offer_offerassignmentemailtemplates,id
order_billingaddress,order_billingaddress_country_id_17f57dca_fk_address_c,country_id,address_country,iso_3166_1_a2
order_communicationevent,order_communicatione_event_type_id_4bc9ee29_fk_communica,event_type_id,communication_communicationeventtype,id
order_communicationevent,order_communicationevent_order_id_94e784ac_fk_order_order_id,order_id,order_order,id
order_line,order_line_order_id_b9148391_fk_order_order_id,order_id,order_order,id
order_line,order_line_partner_id_258a2fb9_fk_partner_partner_id,partner_id,partner_partner,id
order_line,order_line_product_id_e620902d_fk_catalogue_product_id,product_id,catalogue_product,id
order_line,order_line_stockrecord_id_1d65aff5_fk_partner_stockrecord_id,stockrecord_id,partner_stockrecord,id
order_lineattribute,order_lineattribute_line_id_adf6dd87_fk_order_line_id,line_id,order_line,id
order_lineattribute,order_lineattribute_option_id_b54d597c_fk_catalogue_option_id,option_id,catalogue_option,id
order_lineprice,order_lineprice_line_id_2de52446_fk_order_line_id,line_id,order_line,id
order_lineprice,order_lineprice_order_id_66792e56_fk_order_order_id,order_id,order_order,id
order_markordersstatuscompleteconfig,order_markordersstat_changed_by_id_84d0d0ba_fk_ecommerce,changed_by_id,ecommerce_user,id
order_order,order_order_basket_id_8b0acbb2_fk_basket_basket_id,basket_id,basket_basket,id
order_order,order_order_billing_address_id_8fe537cf_fk_order_bil,billing_address_id,order_billingaddress,id
order_order,order_order_partner_id_0195eb6a_fk_partner_partner_id,partner_id,partner_partner,id
order_order,order_order_shipping_address_id_57e64931_fk_order_shi,shipping_address_id,order_shippingaddress,id
order_order,order_order_site_id_e27f3526_fk_django_site_id,site_id,django_site,id
order_order,order_order_user_id_7cf9bc2b_fk_ecommerce_user_id,user_id,ecommerce_user,id
order_orderdiscount,order_orderdiscount_order_id_bc91e123_fk_order_order_id,order_id,order_order,id
order_ordernote,order_ordernote_order_id_7d97583d_fk_order_order_id,order_id,order_order,id
order_ordernote,order_ordernote_user_id_48d7a672_fk_ecommerce_user_id,user_id,ecommerce_user,id
order_orderstatuschange,order_orderstatuschange_order_id_43efdbe5_fk_order_order_id,order_id,order_order,id
order_paymentevent,order_paymentevent_event_type_id_568c7161_fk_order_pay,event_type_id,order_paymenteventtype,id
order_paymentevent,order_paymentevent_order_id_395b3e82_fk_order_order_id,order_id,order_order,id
order_paymentevent,order_paymentevent_shipping_event_id_213dcfb8_fk_order_shi,shipping_event_id,order_shippingevent,id
order_paymenteventquantity,order_paymenteventqu_event_id_a540165a_fk_order_pay,event_id,order_paymentevent,id
order_paymenteventquantity,order_paymenteventquantity_line_id_df44b021_fk_order_line_id,line_id,order_line,id
order_shippingaddress,order_shippingaddres_country_id_29abf9a0_fk_address_c,country_id,address_country,iso_3166_1_a2
order_shippingevent,order_shippingevent_event_type_id_9f1efb20_fk_order_shi,event_type_id,order_shippingeventtype,id
order_shippingevent,order_shippingevent_order_id_8c031fb6_fk_order_order_id,order_id,order_order,id
order_shippingeventquantity,order_shippingeventq_event_id_1c7fb9c7_fk_order_shi,event_id,order_shippingevent,id
order_shippingeventquantity,order_shippingeventquantity_line_id_3b089ee0_fk_order_line_id,line_id,order_line,id
order_surcharge,order_surcharge_order_id_5c0a94f5_fk_order_order_id,order_id,order_order,id
partner_partner,partner_partner_default_site_id_c5e08da3_fk_django_site_id,default_site_id,django_site,id
partner_partner_users,partner_partner_users_partner_id_1883dfd9_fk_partner_partner_id,partner_id,partner_partner,id
partner_partner_users,partner_partner_users_user_id_d75d6e40_fk_ecommerce_user_id,user_id,ecommerce_user,id
partner_partneraddress,partner_partneraddre_country_id_02c4f979_fk_address_c,country_id,address_country,iso_3166_1_a2
partner_partneraddress,partner_partneraddress_partner_id_59551b0a_fk_partner_partner_id,partner_id,partner_partner,id
partner_stockalert,partner_stockalert_stockrecord_id_68ad503a_fk_partner_s,stockrecord_id,partner_stockrecord,id
partner_stockrecord,partner_stockrecord_partner_id_4155a586_fk_partner_partner_id,partner_id,partner_partner,id
partner_stockrecord,partner_stockrecord_product_id_62fd9e45_fk_catalogue_product_id,product_id,catalogue_product,id
payment_bankcard,payment_bankcard_user_id_08e1d04c_fk_ecommerce_user_id,user_id,ecommerce_user,id
payment_paymentprocessorresponse,payment_paymentproce_basket_id_ff3d36a2_fk_basket_ba,basket_id,basket_basket,id
payment_sdncheckfailure,payment_sdncheckfailure_site_id_202cf400_fk_django_site_id,site_id,django_site,id
payment_sdncheckfailure_products,payment_sdncheckfail_product_id_6d431270_fk_catalogue,product_id,catalogue_product,id
payment_sdncheckfailure_products,payment_sdncheckfail_sdncheckfailure_id_a8c1f0d4_fk_payment_s,sdncheckfailure_id,payment_sdncheckfailure,id
payment_sdnfallbackdata,payment_sdnfallbackd_sdn_fallback_metadat_ce5c42ba_fk_payment_s,sdn_fallback_metadata_id,payment_sdnfallbackmetadata,id
payment_source,payment_source_order_id_6b7f2215_fk_order_order_id,order_id,order_order,id
payment_source,payment_source_source_type_id_700828fe_fk_payment_sourcetype_id,source_type_id,payment_sourcetype,id
payment_transaction,payment_transaction_source_id_c5ac31e8_fk_payment_source_id,source_id,payment_source,id
referrals_referral,referrals_referral_basket_id_25e1749e_fk_basket_basket_id,basket_id,basket_basket,id
referrals_referral,referrals_referral_order_id_170fad6d_fk_order_order_id,order_id,order_order,id
referrals_referral,referrals_referral_site_id_2ba3a624_fk_django_site_id,site_id,django_site,id
refund_refund,refund_refund_order_id_44bf4b92_fk_order_order_id,order_id,order_order,id
refund_refund,refund_refund_user_id_f10f8f2a_fk_ecommerce_user_id,user_id,ecommerce_user,id
refund_refundline,refund_refundline_order_line_id_f775827b_fk_order_line_id,order_line_id,order_line,id
refund_refundline,refund_refundline_refund_id_a1fc3ad0_fk_refund_refund_id,refund_id,refund_refund,id
reviews_productreview,reviews_productrevie_product_id_52e52a32_fk_catalogue,product_id,catalogue_product,id
reviews_productreview,reviews_productreview_user_id_8acb5ddd_fk_ecommerce_user_id,user_id,ecommerce_user,id
reviews_vote,reviews_vote_review_id_371b2d8d_fk_reviews_productreview_id,review_id,reviews_productreview,id
reviews_vote,reviews_vote_user_id_5fb87b53_fk_ecommerce_user_id,user_id,ecommerce_user,id
shipping_orderanditemcharges_countries,shipping_orderandite_country_id_30387f2e_fk_address_c,country_id,address_country,iso_3166_1_a2
shipping_orderanditemcharges_countries,shipping_orderandite_orderanditemcharges__bf5bfee9_fk_shipping_,orderanditemcharges_id,shipping_orderanditemcharges,id
shipping_weightband,shipping_weightband_method_id_b699a1ba_fk_shipping_,method_id,shipping_weightbased,id
shipping_weightbased_countries,shipping_weightbased_country_id_06117384_fk_address_c,country_id,address_country,iso_3166_1_a2
shipping_weightbased_countries,shipping_weightbased_weightbased_id_93e3132f_fk_shipping_,weightbased_id,shipping_weightbased,id
theming_sitetheme,theming_sitetheme_site_id_fe93d039_fk_django_site_id,site_id,django_site,id
voucher_couponvouchers,voucher_couponvouche_coupon_id_44356128_fk_catalogue,coupon_id,catalogue_product,id
voucher_couponvouchers_vouchers,voucher_couponvouche_couponvouchers_id_ebe4c993_fk_voucher_c,couponvouchers_id,voucher_couponvouchers,id
voucher_couponvouchers_vouchers,voucher_couponvouche_voucher_id_d5507ed9_fk_voucher_v,voucher_id,voucher_voucher,id
voucher_orderlinevouchers,voucher_orderlinevouchers_line_id_fa3dbd8e_fk_order_line_id,line_id,order_line,id
voucher_orderlinevouchers_vouchers,voucher_orderlinevou_orderlinevouchers_id_c916ee3a_fk_voucher_o,orderlinevouchers_id,voucher_orderlinevouchers,id
voucher_orderlinevouchers_vouchers,voucher_orderlinevou_voucher_id_b8820f35_fk_voucher_v,voucher_id,voucher_voucher,id
voucher_voucher,voucher_voucher_voucher_set_id_17b96a54_fk_voucher_voucherset_id,voucher_set_id,voucher_voucherset,id
voucher_voucher_offers,voucher_voucher_offe_conditionaloffer_id_f9682bfb_fk_offer_con,conditionaloffer_id,offer_conditionaloffer,id
voucher_voucher_offers,voucher_voucher_offers_voucher_id_7f9c575d_fk_voucher_voucher_id,voucher_id,voucher_voucher,id
voucher_voucherapplication,voucher_voucherappli_voucher_id_5204edb7_fk_voucher_v,voucher_id,voucher_voucher,id
voucher_voucherapplication,voucher_voucherapplication_order_id_30248a05_fk_order_order_id,order_id,order_order,id
voucher_voucherapplication,voucher_voucherapplication_user_id_df53a393_fk_ecommerce_user_id,user_id,ecommerce_user,id
voucher_voucherset,voucher_voucherset_offer_id_1d10d5d6_fk_offer_con,offer_id,offer_conditionaloffer,id
waffle_flag_groups,waffle_flag_groups_flag_id_c11c0c05_fk_waffle_flag_id,flag_id,waffle_flag,id
waffle_flag_groups,waffle_flag_groups_group_id_a97c4f66_fk_auth_group_id,group_id,auth_group,id
waffle_flag_users,waffle_flag_users_flag_id_833c37b0_fk_waffle_flag_id,flag_id,waffle_flag,id
waffle_flag_users,waffle_flag_users_user_id_8026df9b_fk_ecommerce_user_id,user_id,ecommerce_user,id
wishlists_line,wishlists_line_product_id_9d6d9b37_fk_catalogue_product_id,product_id,catalogue_product,id
wishlists_line,wishlists_line_wishlist_id_4cffe302_fk_wishlists_wishlist_id,wishlist_id,wishlists_wishlist,id
wishlists_wishlist,wishlists_wishlist_owner_id_d5464c62_fk_ecommerce_user_id,owner_id,ecommerce_user,id
