table,column
shuup_contactgrouppricedisplay,id
shuup_contactgrouppricedisplay,group_id
shuup_label,id
shuup_paymentmethod_labels,id
shuup_paymentmethod_labels,paymentmethod_id
shuup_paymentmethod_labels,label_id
shuup_shop_labels,id
shuup_shop_labels,shop_id
shuup_shop_labels,label_id
shuup_shopproduct,id
shuup_shopproduct,visibility
shuup_shopproduct,visibility_limit
shuup_shopproduct,product_id
shuup_shopproduct,shop_id
shuup_orderline_labels,id
shuup_orderline_labels,orderline_id
shuup_orderline_labels,label_id
shuup_orderline,id
shuup_orderline,ordering
shuup_orderline,type
shuup_orderline,order_id
shuup_supplier,id
shuup_supplier,type
campaigns_basketcampaign,id
campaigns_basketcampaign,shop_id
campaigns_catalogcampaign,id
campaigns_catalogcampaign,shop_id
campaigns_contactgroupsalesrange,id
campaigns_contactgroupsalesrange,group_id
campaigns_contactgroupsalesrange,shop_id
campaigns_couponusage,id
campaigns_couponusage,coupon_id
campaigns_couponusage,order_id
campaigns_basketdiscounteffect,id
campaigns_basketdiscounteffect,campaign_id
campaigns_basketcondition,id
campaigns_catalogfilter,id
campaigns_categoryfilter_categories,id
campaigns_categoryfilter_categories,categoryfilter_id
campaigns_categoryfilter_categories,category_id
campaigns_categoryproductsbasketcondition,operator
campaigns_categoryproductsbasketcondition,quantity
campaigns_categoryproductsbasketcondition_categories,id
campaigns_categoryproductsbasketcondition_categories,categoryproductsbasketcondition_id
campaigns_categoryproductsbasketcondition_categories,category_id
campaigns_categoryproductsbasketcondition_excluded_categories,id
campaigns_categoryproductsbasketcondition_excluded_categories,categoryproductsbasketcondition_id
campaigns_categoryproductsbasketcondition_excluded_categories,category_id
campaigns_contactbasketcondition_contacts,id
campaigns_contactbasketcondition_contacts,contactbasketcondition_id
campaigns_contactbasketcondition_contacts,contact_id
campaigns_contextcondition,id
campaigns_contactcondition_contacts,id
campaigns_contactcondition_contacts,contactcondition_id
campaigns_contactcondition_contacts,contact_id
campaigns_contactgroupbasketcondition_contact_groups,id
campaigns_contactgroupbasketcondition_contact_groups,contactgroupbasketcondition_id
campaigns_contactgroupbasketcondition_contact_groups,contactgroup_id
campaigns_contactgroupcondition_contact_groups,id
campaigns_contactgroupcondition_contact_groups,contactgroupcondition_id
campaigns_contactgroupcondition_contact_groups,contactgroup_id
campaigns_basketlineeffect,id
campaigns_basketlineeffect,campaign_id
campaigns_discountfromcategoryproducts,category_id
campaigns_discountfromproduct_products,id
campaigns_discountfromproduct_products,discountfromproduct_id
campaigns_discountfromproduct_products,product_id
campaigns_freeproductline_products,id
campaigns_freeproductline_products,freeproductline_id
campaigns_freeproductline_products,product_id
campaigns_productdiscounteffect,id
campaigns_productdiscounteffect,campaign_id
campaigns_productfilter_products,id
campaigns_productfilter_products,productfilter_id
campaigns_productfilter_products,product_id
campaigns_productsinbasketcondition,operator
campaigns_productsinbasketcondition,quantity
campaigns_productsinbasketcondition_products,id
campaigns_productsinbasketcondition_products,productsinbasketcondition_id
campaigns_productsinbasketcondition_products,product_id
campaigns_producttypefilter_product_types,id
campaigns_producttypefilter_product_types,producttypefilter_id
campaigns_producttypefilter_product_types,producttype_id
campaigns_catalogfiltercachedshopproduct,id
campaigns_catalogfiltercachedshopproduct,filter_id
campaigns_catalogfiltercachedshopproduct,shop_product_id
campaigns_catalogcampaign_conditions,id
campaigns_catalogcampaign_conditions,catalogcampaign_id
campaigns_catalogcampaign_conditions,contextcondition_id
campaigns_catalogcampaign_filters,id
campaigns_catalogcampaign_filters,catalogcampaign_id
campaigns_catalogcampaign_filters,catalogfilter_id
campaigns_basketcampaign_conditions,id
campaigns_basketcampaign_conditions,basketcampaign_id
campaigns_basketcampaign_conditions,basketcondition_id
campaigns_coupon,id
shuup_simple_cms_page,id
shuup_simple_cms_page,shop_id
carousel_carousel_shops,id
carousel_carousel_shops,carousel_id
carousel_carousel_shops,shop_id
carousel_carousel,id
carousel_carousel,animation
carousel_carousel,interval
carousel_carousel,image_width
carousel_carousel,image_height
default_tax_taxrule_customer_tax_groups,id
default_tax_taxrule_customer_tax_groups,taxrule_id
default_tax_taxrule_customer_tax_groups,customertaxgroup_id
carousel_slide,id
carousel_slide,target
carousel_slide,carousel_id
default_tax_taxrule,id
default_tax_taxrule,priority
default_tax_taxrule,override_group
default_tax_taxrule,tax_id
default_tax_taxrule_tax_classes,id
default_tax_taxrule_tax_classes,taxrule_id
default_tax_taxrule_tax_classes,taxclass_id
shuup_serviceprovider,id
shuup_serviceprovider_shops,id
shuup_serviceprovider_shops,serviceprovider_id
shuup_serviceprovider_shops,shop_id
shuup_mediafolder_owners,id
shuup_mediafolder_owners,mediafolder_id
shuup_mediafolder_owners,user_id
shuup_suppliershop,id
shuup_suppliershop,shop_id
shuup_suppliershop,supplier_id
shuup_shipment,id
shuup_shipment,status
shuup_shipment,type
shuup_shipment,supplier_id
shuup_attribute,id
shuup_attribute,type
shuup_attribute,visibility_mode
shuup_attribute,max_choices
shuup_attribute,min_choices
shuup_attribute,ordering
shuup_attributechoiceoption,id
shuup_attributechoiceoption,attribute_id
shuup_productattribute_chosen_options,id
shuup_productattribute_chosen_options,productattribute_id
shuup_productattribute_chosen_options,attributechoiceoption_id
shuup_product,id
shuup_product,mode
shuup_product,shipping_mode
shuup_product,tax_class_id
shuup_product,kind
shuup_supplier_supplier_modules,id
shuup_supplier_supplier_modules,supplier_id
shuup_supplier_supplier_modules,suppliermodule_id
shuup_suppliermodule,id
shuup_backgroundtask,id
shuup_backgroundtaskexecution,id
shuup_backgroundtaskexecution,status
shuup_backgroundtaskexecution,task_id
shuup_orderstatus_allowed_next_statuses,id
shuup_orderstatus_allowed_next_statuses,from_orderstatus_id
shuup_orderstatus_allowed_next_statuses,to_orderstatus_id
shuup_orderstatushistory,id
shuup_orderstatushistory,next_order_status_id
shuup_productcatalogpricerule,id
shuup_productcatalogdiscountedpricerule,id
shuup_productcatalogdiscountedprice,catalog_rule_id
shuup_productcatalogdiscountedprice,product_id
shuup_productcatalogdiscountedprice,shop_id
shuup_productcatalogdiscountedprice,supplier_id
shuup_productcatalogprice,product_id
shuup_productcatalogprice,shop_id
shuup_productcatalogprice,supplier_id
discounts_discount,id
discounts_discount,shop_id
discounts_timerange,id
discounts_timerange,weekday
discounts_timerange,happy_hour_id
discounts_discount_happy_hours,id
discounts_discount_happy_hours,discount_id
discounts_discount_happy_hours,happyhour_id
discounts_happyhour,id
discounts_happyhour,shop_id
discounts_shopproductcatalogdiscountslink,id
discounts_shopproductcatalogdiscountslink,shop_product_id
discounts_shopproductcatalogdiscountslink_discounts,id
discounts_shopproductcatalogdiscountslink_discounts,shopproductcatalogdiscountslink_id
discounts_shopproductcatalogdiscountslink_discounts,discount_id
registration_registrationprofile,id
registration_registrationprofile,user_id
reversion_revision,id
reversion_version,id
reversion_version,revision_id
shuup_encryptedconfigurationitem,id
shuup_customer_group_pricing_cgpprice,id
shuup_customer_group_pricing_cgpprice,group_id
shuup_customer_group_pricing_cgpprice,product_id
shuup_customer_group_pricing_cgpprice,shop_id
shuup_customer_group_pricing_cgpdiscount,id
shuup_customer_group_pricing_cgpdiscount,group_id
shuup_customer_group_pricing_cgpdiscount,product_id
shuup_customer_group_pricing_cgpdiscount,shop_id
shuup_front_storedbasket_products,id
shuup_front_storedbasket_products,storedbasket_id
shuup_front_storedbasket_products,product_id
shuup_front_storedbasket,id
shuup_front_storedbasket,product_count
shuup_front_storedbasket,shop_id
shuup_xtheme_savedviewconfig,id
shuup_xtheme_savedviewconfig,status
shuup_xtheme_themesettings,id
shuup_xtheme_snippet,id
shuup_xtheme_snippet,shop_id
shuup_gdpr_gdpruserconsent,id
shuup_gdpr_gdpruserconsent,shop_id
shuup_gdpr_gdpruserconsent,user_id
shuup_gdpr_gdpruserconsentdocument,id
shuup_gdpr_gdpruserconsentdocument,page_id
shuup_gdpr_gdpruserconsentdocument,version_id
shuup_gdpr_gdpruserconsent_documents,id
shuup_gdpr_gdpruserconsent_documents,gdpruserconsent_id
shuup_gdpr_gdpruserconsent_documents,gdpruserconsentdocument_id
shuup_gdpr_gdprsettings_consent_pages,id
shuup_gdpr_gdprsettings_consent_pages,gdprsettings_id
shuup_gdpr_gdprsettings_consent_pages,page_id
shuup_gdpr_gdprsettings,id
shuup_gdpr_gdprsettings,shop_id
shuup_gdpr_gdprcookiecategory,id
shuup_gdpr_gdprcookiecategory,shop_id
shuup_gdpr_gdprcookiecategory_block_snippets,id
shuup_gdpr_gdprcookiecategory_block_snippets,gdprcookiecategory_id
shuup_gdpr_gdprcookiecategory_block_snippets,snippet_id
shuup_notify_notification,id
shuup_notify_notification,recipient_type
shuup_notify_notification,priority
shuup_notify_notification,shop_id
shuup_notify_script,id
shuup_notify_script,shop_id
shuup_notify_emailtemplate,id
shuup_simple_cms_pageopengraph,id
shuup_simple_cms_pageopengraph,page_id
shuup_simple_cms_page_available_permission_groups,id
shuup_simple_cms_page_available_permission_groups,page_id
shuup_simple_cms_page_available_permission_groups,group_id
shuup_tasks_task,id
shuup_tasks_task,status
shuup_tasks_task,priority
shuup_tasks_task,shop_id
shuup_tasks_task,type_id
shuup_tasks_taskcomment,id
shuup_tasks_taskcomment,visibility
shuup_tasks_taskcomment,task_id
shuup_tasks_tasktype,id
shuup_tasks_tasktype,shop_id
shuup_xtheme_font,id
shuup_xtheme_font,shop_id
shuup_xtheme_adminthemesettings,id
shuup_xtheme_adminthemesettings,shop_id
simple_supplier_stockadjustment,id
simple_supplier_stockadjustment,product_id
simple_supplier_stockadjustment,supplier_id
simple_supplier_stockadjustment,type
simple_supplier_stockcount,id
simple_supplier_stockcount,product_id
simple_supplier_stockcount,supplier_id
shuup_displayunit,id
shuup_displayunit,internal_unit_id
shuup_immutableaddress,id
shuup_contactgroup,id
shuup_manufacturer,id
shuup_orderlinetax,id
shuup_orderlinetax,ordering
shuup_orderlinetax,order_line_id
shuup_orderlinetax,tax_id
shuup_payment,id
shuup_payment,order_id
shuup_paymentmethod,id
shuup_paymentmethod,shop_id
shuup_paymentmethod,tax_class_id
shuup_orderstatus,id
shuup_orderstatus,ordering
shuup_orderstatus,role
shuup_productattribute,id
shuup_productattribute,attribute_id
shuup_productattribute,product_id
shuup_productcrosssell,id
shuup_productcrosssell,weight
shuup_productcrosssell,type
shuup_productcrosssell,product1_id
shuup_productcrosssell,product2_id
shuup_productmedia,id
shuup_productmedia,kind
shuup_productmedia,ordering
shuup_productmedia,product_id
shuup_productpackagelink,id
shuup_productpackagelink,child_id
shuup_productpackagelink,parent_id
shuup_producttype,id
shuup_producttype_attributes,id
shuup_producttype_attributes,producttype_id
shuup_producttype_attributes,attribute_id
shuup_configurationitem,value
reversion_revision,comment
shuup_xtheme_savedviewconfig,data
shuup_notify_emailtemplate,template
shuup_simple_cms_page,template_name
shuup_order,admin_comment
shuup_persistentcacheentry,data
shuup_backgroundtask,function
shuup_productattribute,untranslated_string_value
shuup_notify_script,step_data
shuup_front_storedbasket,data
shuup_basket,data
shuup_order,customer_comment
shuup_contact,merchant_notes
shuup_gdpr_gdprcookiecategory,cookies
shuup_xtheme_snippet,snippet
default_tax_taxrule,postal_codes_pattern
reversion_version,serialized_data
shuup_tasks_taskcomment,body
reversion_version,object_repr
shuup_xtheme_themesettings,data
campaigns_basketcampaign,basket_line_text
shuup_encryptedconfigurationitem,key
shuup_encryptedconfigurationitem,value
shuup_notify_notification,message
shuup_shipment,tracking_code
shuup_shipment,description
campaigns_catalogcampaign,name
registration_registrationprofile,activation_key
default_tax_taxrule,country_codes_pattern
default_tax_taxrule,region_codes_pattern
shuup_immutableaddress,prefix
shuup_immutableaddress,name
shuup_immutableaddress,suffix
shuup_immutableaddress,name_ext
shuup_immutableaddress,company_name
shuup_immutableaddress,tax_number
shuup_immutableaddress,phone
shuup_immutableaddress,email
shuup_immutableaddress,postal_code
shuup_immutableaddress,city
shuup_immutableaddress,region_code
shuup_immutableaddress,region
shuup_immutableaddress,country
shuup_manufacturer,name
shuup_basket,key
shuup_orderlinetax,name
shuup_xtheme_font,name
shuup_xtheme_font,css_value
reversion_version,object_id
reversion_version,format
shuup_orderline,sku
shuup_orderline,text
shuup_orderline,accounting_identifier
shuup_payment,gateway_id
shuup_payment,payment_identifier
shuup_payment,description
shuup_currency,code
shuup_paymentmethod,choice_identifier
shuup_paymentmethod,old_module_identifier
shuup_supplier,name
reversion_version,db
shuup_orderstatus,identifier
campaigns_basketcampaign,name
shuup_mutableaddress,name_ext
shuup_mutableaddress,company_name
shuup_mutableaddress,tax_number
shuup_mutableaddress,phone
shuup_mutableaddress,email
shuup_mutableaddress,postal_code
shuup_mutableaddress,city
shuup_mutableaddress,region_code
shuup_mutableaddress,region
shuup_mutableaddress,country
shuup_savedaddress,title
shuup_notify_script,event_identifier
shuup_front_storedbasket,key
shuup_front_storedbasket,title
shuup_product,sku
shuup_product,gtin
shuup_shop,currency
shuup_product,barcode
shuup_persistentcacheentry,key
shuup_product,accounting_identifier
shuup_product,profit_center
shuup_product,cost_center
shuup_persistentcacheentry,module
shuup_shippingmethod,choice_identifier
shuup_shippingmethod,old_module_identifier
shuup_front_storedbasket,currency
shuup_notify_script,name
shuup_front_storedbasket,class_spec
shuup_suppliermodule,module_identifier
shuup_suppliedproduct,sku
shuup_suppliermodule,name
shuup_backgroundtask,queue
shuup_backgroundtask,identifier
shuup_xtheme_savedviewconfig,theme_identifier
shuup_xtheme_savedviewconfig,view_name
shuup_xtheme_themesettings,theme_identifier
shuup_companycontact,tax_number
shuup_xtheme_snippet,location
shuup_productcatalogpricerule,module_identifier
shuup_xtheme_snippet,snippet_type
shuup_personcontact,gender
shuup_personcontact,first_name
shuup_personcontact,last_name
campaigns_hourbasketcondition,days
campaigns_hourcondition,days
shuup_productcatalogdiscountedpricerule,module_identifier
shuup_xtheme_snippet,name
shuup_notify_emailtemplate,name
shuup_xtheme_adminthemesettings,primary_color
shuup_simple_cms_pageopengraph,og_type
shuup_configurationitem,key
shuup_custompaymentprocessor,rounding_mode
campaigns_coupon,code
shuup_xtheme_adminthemesettings,secondary_color
shuup_xtheme_adminthemesettings,text_color
shuup_order,label
shuup_order,key
shuup_order,tax_number
shuup_order,phone
shuup_order,email
shuup_order,payment_method_name
shuup_order,shipping_method_name
shuup_order,currency
shuup_order,display_currency
shuup_order,language
shuup_xtheme_adminthemesettings,success_color
shuup_xtheme_adminthemesettings,danger_color
shuup_xtheme_adminthemesettings,base_font_size
discounts_happyhour,name
shuup_tasks_task,name
shuup_basket,currency
shuup_contact,_language
shuup_contact,phone
shuup_contact,www
shuup_contact,prefix
shuup_contact,name
shuup_contact,suffix
shuup_contact,name_ext
shuup_contact,email
carousel_carousel,name
shuup_basket,title
shuup_productvariationresult,combination_hash
shuup_shipment,tracking_url
shuup_attribute,identifier
shuup_mutableaddress,prefix
shuup_mutableaddress,name
shuup_mutableaddress,suffix
campaigns_hourcondition,hour_start
campaigns_hourbasketcondition,hour_end
campaigns_hourbasketcondition,hour_start
campaigns_hourcondition,hour_end
discounts_timerange,to_hour
discounts_timerange,from_hour
shuup_persistentcacheentry,time
shuup_orderline,created_on
shuup_tasks_task,created_on
shuup_label,created_on
campaigns_catalogcampaign,modified_on
shuup_xtheme_savedviewconfig,modified_on
shuup_orderline,modified_on
shuup_orderstatushistory,created_on
shuup_front_storedbasket,created_on
shuup_front_storedbasket,updated_on
shuup_order,order_date
shuup_product,created_on
shuup_product,modified_on
shuup_shipment,created_on
shuup_manufacturer,created_on
shuup_label,modified_on
shuup_shop,created_on
shuup_shop,modified_on
shuup_payment,created_on
shuup_simple_cms_page,modified_on
shuup_basket,created_on
shuup_contact,created_on
discounts_discount,created_on
discounts_discount,modified_on
shuup_notify_notification,created_on
campaigns_basketcampaign,modified_on
campaigns_basketcampaign,created_on
shuup_backgroundtask,created_on
reversion_revision,date_created
shuup_backgroundtask,modified_on
campaigns_coupon,created_on
campaigns_coupon,modified_on
shuup_gdpr_gdpruserconsent,created_on
shuup_backgroundtaskexecution,started_on
shuup_xtheme_savedviewconfig,created_on
shuup_supplier,modified_on
shuup_order,created_on
shuup_order,modified_on
shuup_supplier,created_on
campaigns_catalogcampaign,created_on
simple_supplier_stockadjustment,created_on
shuup_simple_cms_page,created_on
shuup_basket,updated_on
shuup_tasks_taskcomment,created_on
shuup_tasks_taskcomment,modified_on
shuup_notify_script,created_on
shuup_tasks_task,modified_on
campaigns_couponusage,created_on
campaigns_couponusage,modified_on
shuup_shopproduct,minimum_purchase_quantity
shuup_customer_group_pricing_cgpdiscount,discount_amount_value
simple_supplier_stockcount,stock_value_value
shuup_orderline,discount_amount_value
shuup_productpackagelink,quantity
shuup_orderline,base_unit_price_value
shuup_productcatalogprice,price_value
shuup_payment,amount_value
shuup_fixedcostbehaviorcomponent,price_value
campaigns_freeproductline,quantity
shuup_orderlinetax,base_amount_value
simple_supplier_stockcount,physical_count
shuup_orderlinetax,amount_value
shuup_order,taxful_total_price_value
shuup_order,taxless_total_price_value
shuup_orderline,quantity
shuup_displayunit,ratio
shuup_weightbasedpricerange,price_value
shuup_waivingcostbehaviorcomponent,price_value
shuup_waivingcostbehaviorcomponent,waive_limit_value
shuup_shopproduct,purchase_multiple
shuup_shipment,weight
shuup_displayunit,comparison_value
shuup_shipment,volume
simple_supplier_stockcount,logical_count
simple_supplier_stockadjustment,delta
shuup_shipmentproduct,quantity
shuup_shipmentproduct,unit_volume
shuup_shipmentproduct,unit_weight
shuup_product,width
shuup_order,display_currency_rate
shuup_product,height
shuup_customer_group_pricing_cgpprice,price_value
shuup_product,depth
simple_supplier_stockcount,alert_limit
shuup_product,net_weight
shuup_custompaymentprocessor,rounding_quantize
shuup_suppliedproduct,physical_count
shuup_suppliedproduct,logical_count
simple_supplier_stockadjustment,purchase_price_value
shuup_product,gross_weight
