model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
Country,oscar.apps.address.models,address,address_country,orderanditemcharges,ManyToManyRel,address_country,,,,,,,shipping_orderanditemcharges,ManyToManyField,,,no,
Country,oscar.apps.address.models,address,address_country,weightbased,ManyToManyRel,address_country,,,,,,,shipping_weightbased,ManyToManyField,,,no,
Country,oscar.apps.address.models,address,address_country,partneraddress,ManyToOneRel,address_country,,,,,,,partner_partneraddress,ForeignKey,,CASCADE,no,
Country,oscar.apps.address.models,address,address_country,shippingaddress,ManyToOneRel,address_country,,,,,,,order_shippingaddress,ForeignKey,,CASCADE,no,
Country,oscar.apps.address.models,address,address_country,billingaddress,ManyToOneRel,address_country,,,,,,,order_billingaddress,ForeignKey,,CASCADE,no,
Country,oscar.apps.address.models,address,address_country,iso_3166_1_a2,CharField,address_abstractcountry,,,True,2,False,False,,,,,no,
Country,oscar.apps.address.models,address,address_country,iso_3166_1_a3,CharField,address_abstractcountry,,,False,3,False,False,,,,,no,
Country,oscar.apps.address.models,address,address_country,iso_3166_1_numeric,CharField,address_abstractcountry,,,False,3,False,True,,,,,no,
Country,oscar.apps.address.models,address,address_country,printable_name,CharField,address_abstractcountry,,,False,128,False,False,,,,,no,
Country,oscar.apps.address.models,address,address_country,name,CharField,address_abstractcountry,,,False,128,False,False,,,,,no,
Country,oscar.apps.address.models,address,address_country,display_order,PositiveSmallIntegerField,address_abstractcountry,,,False,,False,False,,,0,,no,
Country,oscar.apps.address.models,address,address_country,is_shipping_country,BooleanField,address_abstractcountry,,,False,,False,False,,,False,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,id,BigAutoField,shipping_orderanditemcharges,,,True,,False,False,,,,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,code,AutoSlugField,shipping_abstractbase,,,False,128,True,False,,,,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,name,CharField,shipping_abstractbase,,,False,128,True,False,,,,,no,
